"date","statename","statepostal","fips","m50","m50_index"
2020-03-01,"Alaska","AK",2,0.808,20
2020-03-01,"Alabama","AL",1,8.331,79
2020-03-01,"Arkansas","AR",5,7.026,73
2020-03-01,"Arizona","AZ",4,4.749,60
2020-03-01,"California","CA",6,4.122,60
2020-03-01,"Colorado","CO",8,3.884,55
2020-03-01,"Connecticut","CT",9,4.172,61
2020-03-01,"Washington, D.C.","DC",11,3.739,102
2020-03-01,"Delaware","DE",10,4.981,59
2020-03-01,"Florida","FL",12,5.847,71
2020-03-01,"Georgia","GA",13,7.651,78
2020-03-01,"Hawaii","HI",15,4.614,68
2020-03-01,"Iowa","IA",19,4.687,67
2020-03-01,"Idaho","ID",16,2.566,47
2020-03-01,"Illinois","IL",17,5.142,70
2020-03-01,"Indiana","IN",18,5.497,66
2020-03-01,"Kansas","KS",20,5.146,69
2020-03-01,"Kentucky","KY",21,6.478,75
2020-03-01,"Louisiana","LA",22,6.911,73
2020-03-01,"Massachusetts","MA",25,3.826,63
2020-03-01,"Maryland","MD",24,4.548,57
2020-03-01,"Maine","ME",23,4.046,56
2020-03-01,"Michigan","MI",26,4.576,57
2020-03-01,"Minnesota","MN",27,4.356,58
2020-03-01,"Missouri","MO",29,6.634,70
2020-03-01,"Mississippi","MS",28,8.814,78
2020-03-01,"Montana","MT",30,2.616,62
2020-03-01,"North Carolina","NC",37,7.162,73
2020-03-01,"North Dakota","ND",38,2.608,60
2020-03-01,"Nebraska","NE",31,4.735,70
2020-03-01,"New Hampshire","NH",33,5.19,58
2020-03-01,"New Jersey","NJ",34,4.296,60
2020-03-01,"New Mexico","NM",35,3.668,61
2020-03-01,"Nevada","NV",32,4.384,62
2020-03-01,"New York","NY",36,2.673,51
2020-03-01,"Ohio","OH",39,5.02,63
2020-03-01,"Oklahoma","OK",40,7.175,74
2020-03-01,"Oregon","OR",41,2.947,57
2020-03-01,"Pennsylvania","PA",42,3.956,62
2020-03-01,"Rhode Island","RI",44,4.217,69
2020-03-01,"South Carolina","SC",45,7.401,77
2020-03-01,"South Dakota","SD",46,3.622,70
2020-03-01,"Tennessee","TN",47,7.93,77
2020-03-01,"Texas","TX",48,6.619,72
2020-03-01,"Utah","UT",49,1.686,23
2020-03-01,"Virginia","VA",51,5.243,65
2020-03-01,"Vermont","VT",50,4.861,82
2020-03-01,"Washington","WA",53,3.423,55
2020-03-01,"Wisconsin","WI",55,4.138,62
2020-03-01,"West Virginia","WV",54,5.619,72
2020-03-01,"Wyoming","WY",56,2.16,53
2020-03-02,"Alaska","AK",2,3.463,86
2020-03-02,"Alabama","AL",1,10.398,98
2020-03-02,"Arkansas","AR",5,9.268,97
2020-03-02,"Arizona","AZ",4,7.555,96
2020-03-02,"California","CA",6,6.725,98
2020-03-02,"Colorado","CO",8,6.412,91
2020-03-02,"Connecticut","CT",9,6.703,99
2020-03-02,"Washington, D.C.","DC",11,2.798,76
2020-03-02,"Delaware","DE",10,8.269,99
2020-03-02,"Florida","FL",12,8.127,99
2020-03-02,"Georgia","GA",13,9.768,100
2020-03-02,"Hawaii","HI",15,6.59,97
2020-03-02,"Iowa","IA",19,6.77,97
2020-03-02,"Idaho","ID",16,5.339,97
2020-03-02,"Illinois","IL",17,7.092,97
2020-03-02,"Indiana","IN",18,7.884,94
2020-03-02,"Kansas","KS",20,7.043,95
2020-03-02,"Kentucky","KY",21,8.122,94
2020-03-02,"Louisiana","LA",22,9.369,99
2020-03-02,"Massachusetts","MA",25,6.033,99
2020-03-02,"Maryland","MD",24,7.758,98
2020-03-02,"Maine","ME",23,6.941,97
2020-03-02,"Michigan","MI",26,7.85,98
2020-03-02,"Minnesota","MN",27,7.206,97
2020-03-02,"Missouri","MO",29,8.978,95
2020-03-02,"Mississippi","MS",28,11.147,99
2020-03-02,"Montana","MT",30,4.134,99
2020-03-02,"North Carolina","NC",37,9.776,100
2020-03-02,"North Dakota","ND",38,4.128,96
2020-03-02,"Nebraska","NE",31,6.313,94
2020-03-02,"New Hampshire","NH",33,8.598,97
2020-03-02,"New Jersey","NJ",34,7.153,100
2020-03-02,"New Mexico","NM",35,5.899,99
2020-03-02,"Nevada","NV",32,7.003,99
2020-03-02,"New York","NY",36,5.176,100
2020-03-02,"Ohio","OH",39,7.605,95
2020-03-02,"Oklahoma","OK",40,9.425,98
2020-03-02,"Oregon","OR",41,4.878,94
2020-03-02,"Pennsylvania","PA",42,6.267,99
2020-03-02,"Rhode Island","RI",44,6.068,99
2020-03-02,"South Carolina","SC",45,9.876,103
2020-03-02,"South Dakota","SD",46,5.104,100
2020-03-02,"Tennessee","TN",47,9.882,96
2020-03-02,"Texas","TX",48,9.071,100
2020-03-02,"Utah","UT",49,6.882,97
2020-03-02,"Virginia","VA",51,8.025,100
